,imagenet_class,original_score,perturbated_score
373,macaque,4.0550417e-06,3.0917386e-07
374,langur,4.1647463e-06,6.1924645e-08
375,"colobus, colobus monkey",5.029702e-06,5.9731065e-08
376,"proboscis monkey, Nasalis larvatus",6.874178e-06,3.615512e-07
377,marmoset,6.448486e-06,6.1543295e-07
378,"capuchin, ringtail, Cebus capucinus",2.4454032e-05,2.3049459e-07
379,"howler monkey, howler",5.541671e-06,1.3488115e-07
380,"titi, titi monkey",1.1196501e-05,3.914348e-07
381,"spider monkey, Ateles geoffroyi",6.761224e-06,1.0695141e-07
382,"squirrel monkey, Saimiri sciureus",4.2718866e-06,2.565176e-07
383,"Madagascar cat, ring-tailed lemur, Lemur catta",1.6470673e-06,1.6515114e-07
384,"indri, indris, Indri indri, Indri brevicaudatus",2.4495098e-06,8.844525e-08
385,"Indian elephant, Elephas maximus",4.9673156e-07,5.625169e-09
386,"African elephant, Loxodonta africana",5.9307996e-07,2.5480928e-08
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",3.4789562e-06,4.7861015e-08
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",8.010078e-06,7.7309984e-08
389,"barracouta, snoek",7.0854145e-07,2.3860808e-08
390,eel,2.8869408e-06,8.8271236e-08
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.4100788e-06,8.495457e-08
392,"rock beauty, Holocanthus tricolor",3.8066413e-05,3.6218344e-07
393,anemone fish,1.7216137e-06,4.9013443e-06
394,sturgeon,2.4682765e-06,1.0086373e-07
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",7.6971617e-07,1.656375e-08
396,lionfish,2.39182e-06,1.671948e-07
397,"puffer, pufferfish, blowfish, globefish",3.993766e-06,4.5423215e-07
398,abacus,0.00016095054,0.017289571
399,abaya,5.4908396e-05,1.5542674e-06
400,"academic gown, academic robe, judge's robe",1.3358643e-05,1.1486945e-05
401,"accordion, piano accordion, squeeze box",5.8034606e-05,0.00032930874
402,acoustic guitar,2.9294813e-05,1.4792382e-05
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",2.3470426e-07,5.213062e-08
404,airliner,4.306974e-07,6.783473e-08
405,"airship, dirigible",2.8646903e-06,4.174088e-07
406,altar,3.583367e-06,4.7303106e-06
407,ambulance,6.7563124e-06,3.812254e-07
408,"amphibian, amphibious vehicle",3.253016e-07,8.576242e-08
409,analog clock,0.0013864106,0.00010041587
410,"apiary, bee house",3.42246e-06,4.278008e-05
411,apron,5.0692786e-05,1.4920014e-06
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.00040551138,9.1324455e-06
413,"assault rifle, assault gun",1.7998062e-05,9.843548e-06
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",1.3403755e-05,9.659026e-07
415,"bakery, bakeshop, bakehouse",1.6505952e-05,9.654385e-05
416,"balance beam, beam",2.5228095e-05,8.275363e-06
417,balloon,3.75652e-05,6.128562e-06
418,"ballpoint, ballpoint pen, ballpen, Biro",5.1022575e-06,5.191186e-07
419,Band Aid,0.00012793898,0.00027879706
420,banjo,7.5092867e-06,5.9810304e-06
421,"bannister, banister, balustrade, balusters, handrail",1.0419599e-05,5.8526625e-06
422,barbell,1.639788e-05,0.00035193225
423,barber chair,7.9421125e-06,3.5738845e-05
424,barbershop,0.00014039654,0.00012616308
425,barn,2.6213497e-06,5.464563e-07
